Date,estimated river discharge
1-Mar-22,763.13882
4-Mar-22,805.4507532
6-Mar-22,779.4730606
7-Mar-22,767.5295735
9-Mar-22,768.0204018
10-Mar-22,800.6655977
11-Mar-22,771.4728015
14-Mar-22,773.9565871
16-Mar-22,801.7248248
21-Mar-22,770.9778229
22-Mar-22,770.9778229
23-Mar-22,708.014936
24-Mar-22,698.4481513
26-Mar-22,398.748037
29-Mar-22,537.4605923
31-Mar-22,648.6827567
3-Apr-22,638.0769345
5-Apr-22,818.9942753
8-Apr-22,821.7473542
10-Apr-22,826.7401794
13-Apr-22,827.2978969
15-Apr-22,795.9283615
18-Apr-22,799.0811944
20-Apr-22,800.6655977
23-Apr-22,586.5401742
24-Apr-22,558.1964523
25-Apr-22,821.1955552
27-Apr-22,617.1647449
28-Apr-22,606.8577191
30-Apr-22,609.7924732
3-May-22,540.1996632
5-May-22,349.658383
8-May-22,547.0819043
9-May-22,549.8486483
10-May-22,485.6161216
13-May-22,458.9224532
15-May-22,589.418548
18-May-22,315.1631651
20-May-22,419.8669967
23-May-22,522.5365197
25-May-22,565.207582
26-May-22,615.6862414
28-May-22,580.8074861
30-May-22,632.0613518
2-Jun-22,576.5289956
4-Jun-22,773.9565871
7-Jun-22,633.5621914
9-Jun-22,823.4063027
11-Jun-22,853.5932068
12-Jun-22,791.2390502
14-Jun-22,817.8971864
17-Jun-22,727.3735787
19-Jun-22,529.2906861
22-Jun-22,356.1426504
24-Jun-22,254.7001712
27-Jun-22,274.0787629
29-Jun-22,270.3282905
2-Jul-22,270.3282905
4-Jul-22,1343.497837
7-Jul-22,650.2060496
9-Jul-22,602.4707309
17-Jul-22,911.8779697
22-Jul-22,497.3169493
24-Jul-22,517.168505
27-Jul-22,651.7313895
29-Jul-22,755.4517783
1-Aug-22,598.1018901
3-Aug-22,596.6496388
6-Aug-22,753.5537878
8-Aug-22,534.7294106
11-Aug-22,899.7905794
13-Aug-22,884.830448
14-Aug-22,782.0042426
16-Aug-22,775.9542829
18-Aug-22,826.1830538
21-Aug-22,777.4587762
5-Sep-22,952.148004
7-Sep-22,926.7992428
12-Sep-22,1027.479501
15-Sep-22,967.9136942
17-Sep-22,861.8451597
18-Sep-22,873.2304448
20-Sep-22,915.7399118
22-Sep-22,881.7569775
25-Sep-22,752.6083604
27-Sep-22,700.0374201
30-Sep-22,846.0348044
2-Oct-22,805.4507532
5-Oct-22,806.5206286
7-Oct-22,824.5152276
10-Oct-22,778.464734
12-Oct-22,754.976389
17-Oct-22,596.6496388
20-Oct-22,527.9359241
22-Oct-22,505.2049154
25-Oct-22,540.1996632
30-Oct-22,483.0372451
