Date,estimated river discharge,observed river discharge
1-Mar-22,815.987522,792
4-Mar-22,813.3710147,729
6-Mar-22,752.9164313,638
7-Mar-22,665.600064,638
9-Mar-22,806.8641365,694
10-Mar-22,805.568648,693
11-Mar-22,794.636045,652
14-Mar-22,868.5924704,866
16-Mar-22,654.2163119,517
21-Mar-22,628.4602622,684
22-Mar-22,535.3283241,425
23-Mar-22,439.6552347,332
24-Mar-22,674.7883825,255
26-Mar-22,744.4723066,465
29-Mar-22,746.2738555,220
31-Mar-22,734.9367085,204
3-Apr-22,788.2710206,580
5-Apr-22,705.1521294,517
8-Apr-22,856.8692372,741
10-Apr-22,698.0767875,547
13-Apr-22,801.6939407,742
15-Apr-22,835.8627788,750
18-Apr-22,903.9151169,820
20-Apr-22,901.7601058,810
23-Apr-22,528.2834893,290
24-Apr-22,788.9053309,782
25-Apr-22,603.2949893,429
27-Apr-22,465.3754961,375
28-Apr-22,428.8830662,285
30-Apr-22,603.2949893,398
3-May-22,469.1170694,270
5-May-22,478.5449463,360
8-May-22,455.1730427,300
9-May-22,360.0469576,248
10-May-22,386.4409648,387
13-May-22,486.163509,322
15-May-22,461.6507859,270
18-May-22,560.9223113,251
20-May-22,572.3995424,352
23-May-22,647.4401214,466
25-May-22,741.4792942,592
26-May-22,453.3317123,364
28-May-22,446.9200695,324
30-May-22,878.3557236,721
2-Jun-22,816.6428782,750
4-Jun-22,675.9420152,548
7-Jun-22,638.4680969,416
9-Jun-22,898.1785708,829
11-Jun-22,890.3437798,767
12-Jun-22,986.8934942,882
14-Jun-22,818.6119005,573
17-Jun-22,642.945135,376
19-Jun-22,780.6972416,421
22-Jun-22,572.3995424,208
24-Jun-22,354.4110606,174
27-Jun-22,345.6539395,198
29-Jun-22,344.0747387,162
2-Jul-22,595.7525289,258
4-Jul-22,2227.961822,1790
7-Jul-22,651.9530824,476
9-Jul-22,477.5973968,398
13-Jul-22,470.9941882,458
14-Jul-22,465.3754961,384
17-Jul-22,519.3035525,421
19-Jul-22,406.0553087,261
22-Jul-22,411.2613262,280
24-Jul-22,406.9204059,209
27-Jul-22,574.5005503,822
29-Jul-22,566.1228216,493
1-Aug-22,622.9394605,528
3-Aug-22,557.8151139,418
6-Aug-22,429.7750272,385
8-Aug-22,527.2814048,428
13-Aug-22,594.6794584,491
14-Aug-22,610.8917301,516
16-Aug-22,811.4137959,655
18-Aug-22,817.2987264,812
30-Aug-22,1367.495632,1370
31-Aug-22,1087.208045,1120
2-Sep-22,1706.530965,1770
5-Sep-22,1100.749749,1230
7-Sep-22,1110.139935,1310
10-Sep-22,733.7533498,347
12-Sep-22,1355.983391,1330
15-Sep-22,1410.02908,1390
17-Sep-22,911.8559625,934
18-Sep-22,907.5169629,942
20-Sep-22,1088.050356,1140
22-Sep-22,836.5329515,871
25-Sep-22,787.003862,727
27-Sep-22,762.0681477,899
30-Sep-22,793.3591397,850
2-Oct-22,767.6111951,933
5-Oct-22,809.4609973,842
7-Oct-22,828.5235627,916
10-Oct-22,751.7043739,757
12-Oct-22,589.3306655,655
15-Oct-22,590.3982179,629
17-Oct-22,409.5218699,275
20-Oct-22,373.1143616,262
22-Oct-22,378.9127613,248
25-Oct-22,399.1714991,318
27-Oct-22,372.2900722,278
30-Oct-22,377.2510058,278
